Date,Lieu,Ville,Type,Prix,Artiste,Image
5 juin 2021 au 31 dec. 2022,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,LISZT - SATIE - BEETHOVEN- ELIO DI TANNA- CONCERT AUX CHANDELLES- PASCAL MANTIN,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
15 nov. 2022 au 25 fevr. 2023,OPERA BASTILLE,PARIS,CLASSIQUE ET OPERA - OPERA,129.0,CARMEN,https://static.ticketmaster.fr/static/images/vignettes/a_526044.gif
12 au 30 dec. 2022,OPERA BASTILLE,PARIS,CLASSIQUE ET OPERA - OPERA,125.5,LA FORCE DU DESTIN,https://static.ticketmaster.fr/static/images/vignettes/a_526052.gif
23 au 30 dec. 2022,EGLISE SAINT GERMAIN DES PRES,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,CONCERTO POUR UNE NUIT DE NOEL DE CORELLI- ORCHESTRE HELIOS- LES 4 SAISONS DE VIVALDI- VE MARIA DE CACCINI & SCHUBERT- GLEN ROUXEL,https://static.ticketmaster.fr/static/images/vignettes/a_533964.gif
30 dec. 2022,BASILIQUE NOTRE DAME DE LA VICTOIRE,ST RAPHAEL,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,22.0,VIVALDI : LES 4 SAISONS,https://static.ticketmaster.fr/static/images/vignettes/a_542809.gif
31 dec. 2022,EGLISE DU SAINT ESPRIT,AIX EN PROVENCE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,22.0,VIVALDI LES QUATRE SAISONS,https://static.ticketmaster.fr/static/images/vignettes/n_vivaldi-les-quatre-saisons.gif
31 dec. 2022,EGLISE SAINT EUSTACHE,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,CHANTS DE NOEL- VIVALDI LES QUATRE SAISONS,https://static.ticketmaster.fr/static/images/vignettes/s_124.gif
31 dec. 2022,CITE DES CONGRES,NANTES,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,26.0,ORCHESTRE NATIONAL DES PAYS DE LA LOIRE- MADEUS LIVE,https://static.ticketmaster.fr/static/images/vignettes/a_532031.gif
1 au 25 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,LISZT SATIE BEETHOVEN- ELIO DI TANNA- CONCERT AUX CHANDELLES- PASCAL MANTIN,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
1 janv. 2023,CENTRE DES CONGRES D'ANGERS,ANGERS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,26.0,ORCHESTRE NATIONAL DES PAYS DE LA LOIRE,https://static.ticketmaster.fr/static/images/vignettes/a_529255.gif
2 au 29 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,LISZT MOZART BEETHOVEN- CONCERT AUX CHANDELLES- FREDERIC MOREAU,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
4 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,LISZT BEETHOVEN RAVEL- CONCERT AUX CHANDELLES- DRIEN POLYCARPE,https://static.ticketmaster.fr/static/images/vignettes/a_542569.gif
5 au 27 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,CHOPIN BEETHOVEN RACHMANINOV- CONCERT AUX CHANDELLES,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
5 janv. 2023,THEATRE MUNICIPAL,TOURCOING,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,TOURCOING BELLE EPOQUE,https://static.ticketmaster.fr/static/images/vignettes/a_539226.gif
6 au 30 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,BEETHOVEN DEBUSSY CHOPIN TCHAIKOVSKY- CONCERT AUX CHANDELLES,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
6 janv. au 15 dec. 2023,EGLISE SAINT GERMAIN DES PRES,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,LES 4 SAISONS DE VIVALDI- GLEN ROUXEL- PETITE MUSIQUE DE NUIT DE MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_541453.gif
7 janv. 2023,RADIANT,CALUIRE ET CUIRE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,15.0,QUATUOR DEBUSSY,https://static.ticketmaster.fr/static/images/vignettes/a_527255.gif
7 janv. 2023,THEATRE DE SAINT-QUENTIN-EN-YVELINES,ST QUENTIN YVELINES CEDEX,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,16.0,"IVAN LE TERRIBLE- SERGUEÏ PROKOFIEV- ""ORCHESTRE NATIONAL DILE DE FRANCE""",https://static.ticketmaster.fr/static/images/vignettes/a_525799.gif
8 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,BACH LES VARIATIONS GOLDBERG- CONCERT AUX CHANDELLES- REMI MASUNAGA,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
8 janv. 2023,TEMPLE DE L'EGLISE REFORMEE,ORTHEZ,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,6.0,LE CHOEUR VOYAGEUR,https://static.ticketmaster.fr/static/images/vignettes/a_542193.gif
8 janv. 2023,THEATRE DES FEUILLANTS,DIJON,CLASSIQUE ET OPERA - OPERETTE,7.5,LA ROUTE FLEURIE,https://static.ticketmaster.fr/static/images/vignettes/a_538479.gif
8 janv. 2023,Salle Cortot,PARIS,CLASSIQUE ET OPERA - RECITAL,27.5,VALENTINA DIAZ-FRENOT,https://static.ticketmaster.fr/static/images/vignettes/a_536048.gif
8 janv. 2023,Salle Cortot,PARIS,CLASSIQUE ET OPERA - RECITAL,27.5,CARINE GUTLERNER,https://static.ticketmaster.fr/static/images/vignettes/a_536047.gif
9 janv. 2023,LE TRIANON,PARIS,CLASSIQUE ET OPERA - OPERA,25.0,NO(S) DAMES- QUATUOR ZAÏDE- THÉOPHILE ALEXANDRE,https://static.ticketmaster.fr/static/images/vignettes/a_536377.gif
12 janv. 2023,AUDITORIUM CARCASSONNE,CARCASSONNE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.0,DE RAMEAU À RAVEL,https://static.ticketmaster.fr/static/images/vignettes/a_529189.gif
13 janv. 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,BRAHMS / RESPIGHI,https://static.ticketmaster.fr/static/images/vignettes/a_533486.gif
14 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,CHOPIN LISZT- CONCERT AUX CHANDELLES- REMI MASUNAGA,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
14 janv. 2023,L'ARTEA DE CARNOUX,CARNOUX EN PROVENCE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,27.2,SYMPHONIE DU NOUVEAU MONDE,https://static.ticketmaster.fr/static/images/vignettes/a_541068.gif
14 janv. 2023,MALRAUX SCENE NATIONALE,CHAMBERY,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,10.0,RENAUD CAPUCON,https://static.ticketmaster.fr/static/images/vignettes/a_528141.gif
15 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,BACH LES SUITES POUR VIOLONCELLE- CONCERT AUX CHANDELLES- THEOPHILE DUGUE,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
