Date,Lieu,Ville,Type,Prix,Artiste,Image
4 au 5 avr. 2023,THEATRE MICHEL PORTAL,BAYONNE,THEATRE - THEATRE CLASSIQUE,28.2,DANS LA SOLITUDE DES CHAMPS DE COTON- BERNARD-MARIE KOLTES,https://static.ticketmaster.fr/static/images/vignettes/a_542349.gif
4 avr. au 1 juil. 2023,LA GAÎTÉ-MONTPARNASSE,PARIS,THEATRE - COMEDIE,30.4,NTHONY KAVANAGH,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
4 avr. 2023,THEATRE DU PUY EN VELAY,LE PUY EN VELAY,THEATRE - THEATRE CONTEMPORAIN,17.0,"""EN CE TEMPS LA LAMOUR""",https://static.ticketmaster.fr/static/images/vignettes/a_539965.gif
4 avr. 2023,ILLIADE,ILLKIRCH GRAFFENSTADEN,THEATRE - THEATRE CLASSIQUE,8.0,PHEDRE,https://static.ticketmaster.fr/static/images/vignettes/a_537502.gif
4 avr. 2023,THEATRE DE FOS -SCENES ET CINES,FOS SUR MER,THEATRE - THEATRE JEUNE PUBLIC,8.0,NORMALITO,https://static.ticketmaster.fr/static/images/vignettes/a_535607.gif
4 avr. 2023,THEATRE MAC NAB,VIERZON,THEATRE - THEATRE CONTEMPORAIN,17.0,INTO THE GROOVE,https://static.ticketmaster.fr/static/images/vignettes/a_529253.gif
4 avr. 2023,MUSEE PIERRE NOEL,ST DIE DES VOSGES,THEATRE - AUTRES THEATRE,6.0,LA VISITE DE LA VIEILLE DAME,https://static.ticketmaster.fr/static/images/vignettes/a_529041.gif
4 avr. 2023,CENTRE CULTUREL NELSON MANDELA,LA CHAPELLE D'ARMENTIERES,THEATRE - COMEDIE,24.5,UN CULOT MONSTRE,https://static.ticketmaster.fr/static/images/vignettes/a_528025.gif
4 avr. 2023,OPERA THEATRE DE ST-ETIENNE,ST ETIENNE,THEATRE - THEATRE CONTEMPORAIN,20.0,"""88 FOIS LINFINI""",https://static.ticketmaster.fr/static/images/vignettes/a_527081.gif
5 au 20 avr. 2023,THEATRE COMEDIE ODEON,LYON,THEATRE - COMEDIE,28.0,"""LE PRIX DE LASCENSION""",https://static.ticketmaster.fr/static/images/vignettes/a_543469.gif
5 avr. 2023,PASINO GRAND,AIX EN PROVENCE,THEATRE - COMEDIE,35.0,LES HOMMES VIENNENT DE MARS ET LES FEMMES DE VENUS,https://static.ticketmaster.fr/static/images/vignettes/a_540908.gif
5 avr. 2023,CENTRE CULTUREL LA LOGE,BEAUPREAU EN MAUGES,THEATRE - THEATRE MUSICAL,14.0,DABADIE OU LES CHOSES DE NOS VIES,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
5 avr. 2023,THEATRE A L'OUEST,CAEN,THEATRE - SEUL EN SCENE,22.0,WILLIAM PILET,https://static.ticketmaster.fr/static/images/vignettes/n_william-pilet.gif
5 avr. 2023,THEATRE OLYMPIA,ARCACHON,THEATRE - THEATRE CLASSIQUE,30.2,"""UNE HISTOIRE DAMOUR""- LEXIS MICHALIK",https://static.ticketmaster.fr/static/images/vignettes/a_532836.gif
5 avr. 2023,THEATRE 100 NOMS,NANTES,THEATRE - COMEDIE,22.0,DRÔLE DE SOIRÉE,https://static.ticketmaster.fr/static/images/vignettes/a_532791.gif
