Date,Lieu,Ville,Type,Prix,Artiste,Image
15 dec. 2022 au 8 janv. 2023,CASINO DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,20.0,LES FRANGLAISES,https://static.ticketmaster.fr/static/images/vignettes/a_520250.gif
6 au 7 janv. 2023,ZENITH EUROPE STRASBOURG,ECKBOLSHEIM,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,35.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
28 janv. au 12 mai 2023,LES FOLIES BERGERE,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,25.0,L CAPONE- ROBERTO ALAGNA- NGGUN- BRUNO PELLETIER,https://static.ticketmaster.fr/static/images/vignettes/a_523709.gif
19 fevr. 2023,ARKEA ARENA,FLOIRAC,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,41.7,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
14 au 26 mars 2023,LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,20.0,SOY DE CUBA,https://static.ticketmaster.fr/static/images/vignettes/a_524403.gif
19 mars 2023,BONLIEU SCENE NATIONALE ANNECY,ANNECY,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,31.2,LA REINE DES GLACES,https://static.ticketmaster.fr/static/images/vignettes/n_la-reine-des-glaces.gif
8 avr. 2023,KINDARENA,ROUEN,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,29.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
18 avr. 2023,PALAIS DES SPORTS,LIMOGES,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
6 juin 2023,CASINO,TOULOUSE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,45.0,GREASE,https://static.ticketmaster.fr/static/images/vignettes/n_grease.gif
21 au 24 sept. 2023,Dome de Paris,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,BERNADETTE DE LOURDES,https://static.ticketmaster.fr/static/images/vignettes/a_540643.gif
4 janv. au 22 fevr. 2023,THEATRE LE METROPOLE,PARIS,SPECTACLE ET COMEDIE MUSICALE - MAGIE,22.0,DONOVAN,https://static.ticketmaster.fr/static/images/vignettes/a_541728.gif
15 janv. 2023,MAISON DU PEUPLE,BELFORT,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,13.0,CENDRILLON,https://static.ticketmaster.fr/static/images/vignettes/a_537931.gif
