Date,Lieu,Ville,Type,Prix,Artiste,Image
25 mars 2023,LE CHATO'DO,BLOIS,CONCERT - MUSIQUE ELECTRONIQUE,22.0,"""LA PTITE FUMEE""- LOUVE",https://static.ticketmaster.fr/static/images/vignettes/a_543695.gif
25 mars 2023,LE GUEULARD +,NILVANGE,CONCERT - HARD METAL,14.0,POGO- SCURU FITCHADU- HASSAN K,https://static.ticketmaster.fr/static/images/vignettes/a_543479.gif
25 mars 2023,6MIC,AIX EN PROVENCE,CONCERT - VARIETE ET CHANSON FRANCAISE,31.2,LA GRANDE SOPHIE,https://static.ticketmaster.fr/static/images/vignettes/a_543378.gif
25 mars 2023,LO BOLEGASON,CASTRES CEDEX,CONCERT - RAP HIP-HOP SLAM,9.0,SIMONY,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
25 mars 2023,LA LUCIOLE,ALENCON,CONCERT - POP ROCK FOLK,30.2,JEANNE ADDED,https://static.ticketmaster.fr/static/images/vignettes/n_jeanne-added.gif
25 mars 2023,LE RIO GRANDE,MONTAUBAN,CONCERT - REGGAE SKA DUB,20.0,LA PEGATINA- PAPITO COLLECTIVE,https://static.ticketmaster.fr/static/images/vignettes/a_542281.gif
25 mars 2023,LA SIRENE,LA ROCHELLE,CONCERT - POP ROCK FOLK,20.0,FOREVER PAVOT- LE BINGO,https://static.ticketmaster.fr/static/images/vignettes/s_15179.gif
25 mars 2023,COMPLEXE BOCAPOLE,BRESSUIRE,CONCERT - VARIETE ET CHANSON FRANCAISE,35.0,JEAN BAPTISTE GUEGAN,https://static.ticketmaster.fr/static/images/vignettes/n_jean-baptiste-guegan.gif
25 mars 2023,LES ABATTOIRS,BOURGOIN JALLIEU,CONCERT - MUSIQUE ELECTRONIQUE,22.0,"""SALUT CEST COOL EST DIMENSION BONUS""",https://static.ticketmaster.fr/static/images/vignettes/s_8245.gif
25 mars 2023,Ubu Club,RENNES,CONCERT - POP ROCK FOLK,22.0,ONE SHOT,https://static.ticketmaster.fr/static/images/vignettes/a_541626.gif
25 mars 2023,Le RACK'AM,BRETIGNY SUR ORGE,CONCERT - VARIETE ET CHANSON FRANCAISE,7.0,HANSEL ET GRETEL CONCERT,https://static.ticketmaster.fr/static/images/vignettes/a_541427.gif
